"","x"
"1",411.452236020071
"2",316.222611476868
"3",216.488813403496
"4",296.729459755872
"5",219.820701127442
"6",203.520345112815
"7",448.597099619124
"8",330.017311434726
"9",381.6619224686
"10",312.030249715524
"11",364.374938912335
"12",414.561222662914
"13",415.922356085749
"14",404.455636002701
"15",353.160507581853
"16",368.066409579529
"17",260.802689197209
"18",138.391483981263
"19",230.97087917266
"20",297.584422761347
"21",402.038993943332
"22",452.098233329581
"23",221.998285242908
"24",215.572389145787
"25",151.999374529178
"26",608.17663524477
"27",241.230652846256
"28",194.014421046316
"29",441.890807049522
"30",271.6861042044
"31",509.384967791291
"32",455.951999293159
"33",328.882484909968
"34",262.033734746629
"35",244.242817843548
"36",389.588039473704
"37",386.665566217912
"38",217.440129548041
"39",378.753902137794
"40",192.171941908634
"41",282.401522096004
"42",359.660342456998
"43",461.787267098619
"44",515.363781375497
"45",320.215536300128
"46",403.288448762305
"47",349.891333674005
"48",481.239288102441
"49",392.81676078182
"50",236.625692298304
"51",465.696858496538
"52",222.401781685344
"53",384.29782485826
"54",203.265225858822
"55",308.405237790958
"56",340.990161113622
"57",460.133580064883
"58",316.750752008349
"59",222.435813182673
"60",271.740611142372
"61",351.214635697378
"62",201.01703449401
"63",411.748625882528
"64",234.366465790675
"65",94.0590562998754
"66",315.216018493975
"67",368.7832620561
"68",505.792004723605
"69",495.495436458627
"70",239.392901114537
"71",442.888039779602
"72",292.086417873854
"73",321.108417282295
"74",261.794084745094
"75",154.56614832149
"76",344.908716018033
"77",150.167774858726
"78",199.738310398339
"79",211.514426875571
"80",278.797020904026
"81",459.369918073871
"82",210.969829385794
"83",407.209651335028
"84",361.281443946028
"85",370.318085416415
"86",262.110060220017
"87",349.060501576329
"88",279.825303976777
"89",329.265197114162
"90",425.339627402113
"91",516.386747076553
"92",367.025707814066
"93",460.213626212234
"94",714.39571474148
"95",196.546465121539
"96",440.113208430178
"97",270.953328603503
"98",347.308577935038
"99",392.553366821215
"100",179.42274089932
"101",455.150839582569
"102",280.857286271659
"103",470.249243418727
"104",307.805446903827
"105",205.527855173582
"106",463.630755781011
"107",171.747829370643
"108",251.826991518744
"109",268.505482445226
"110",344.600064493936
"111",203.140893847691
"112",320.89373286617
"113",337.306338039277
"114",360.910156213083
"115",272.75826549485
"116",448.11230273898
"117",268.825445093212
"118",142.458672529307
"119",340.628240567822
"120",377.876972872128
"121",496.38133187178
"122",358.81469956104
"123",439.223652975913
"124",544.745300892301
"125",248.955927073157
"126",228.56056160984
"127",203.821237949497
"128",388.290361252482
"129",312.69226614222
"130",485.857110246955
"131",401.002452161761
"132",201.50976989132
"133",280.943452632099
"134",232.427083813337
"135",277.760214048515
