"","x"
"1",702.356019273131
"2",444.110801473334
"3",229.573501308981
"4",411.839974577823
"5",406.063085663229
"6",303.972730890742
"7",450.936135607137
"8",476.581619234856
"9",586.106191737375
"10",653.348854144196
"11",576.379018991973
"12",746.20433755742
"13",409.555502823374
"14",556.790741698004
"15",317.275425970711
"16",388.457938708191
"17",333.392048100007
"18",323.663316629844
"19",489.349913839324
"20",412.109953224196
"21",429.379045028152
"22",505.939407152253
"23",320.369311392302
"24",389.004766650243
"25",185.200816822197
"26",700.733808440623
"27",486.916562542599
"28",381.359071482898
"29",637.188190683714
"30",326.380245464569
"31",532.42470425623
"32",304.922025135387
"33",478.232817093501
"34",262.285965098347
"35",587.610059863083
"36",601.045110594567
"37",222.259800354422
"38",241.839178449412
"39",513.665570473158
"40",430.670967858574
"41",406.349012647833
"42",471.911767583179
"43",521.739089667676
"44",506.065129932223
"45",463.961177141122
"46",710.048261451053
"47",583.506212242834
"48",410.180088277324
"49",442.261917506197
"50",401.210061756391
"51",695.725440951835
"52",254.007618381692
"53",575.596051910778
"54",425.312093579378
"55",479.927670375568
"56",634.984894377452
"57",537.903497204526
"58",474.220459582623
"59",357.393110330355
"60",410.934756238824
"61",690.883902676
"62",318.497555222002
"63",530.641464596985
"64",284.309944313221
"65",210.390911703208
"66",443.471114311973
"67",577.019390565394
"68",511.852525405227
"69",491.972580291166
"70",277.642278366666
"71",611.290514130273
"72",422.712617156828
"73",657.883082256889
"74",620.427224106604
"75",305.625124864051
"76",450.469864145012
"77",279.308448968121
"78",323.588948589562
"79",561.572918273895
"80",488.873640401367
"81",481.725986387154
"82",424.458297304167
"83",612.079048792573
"84",560.47374031583
"85",445.331059147492
"86",453.73077992368
"87",444.376522324042
"88",441.074555194093
"89",492.113265168041
"90",562.736811441598
"91",573.060907337592
"92",867.623269021792
"93",247.072542044311
"94",1014.48220626905
"95",224.503382421838
"96",449.180802778977
"97",260.823299800026
"98",655.724546779932
"99",726.883750288303
"100",146.960050698313
"101",592.69910422778
"102",527.044004427671
"103",581.846995784578
"104",326.573111664641
"105",349.0370859247
"106",758.357706617554
"107",482.743892573862
"108",296.590623710307
"109",502.181124544215
"110",449.009444802497
"111",262.422395216081
"112",485.752797334708
"113",513.201109893729
"114",502.588150780276
"115",288.322738867018
"116",542.529731049689
"117",466.016067390719
"118",291.469294539686
"119",530.886035385151
"120",499.143586727578
"121",400.369706405363
"122",562.207760940797
"123",319.296142438424
"124",771.846772412994
"125",409.863112198856
"126",282.729453946214
"127",392.18479319099
"128",512.376447293551
"129",573.556785207736
