"","x"
"1",530.408612356563
"2",442.674684031261
"3",151.45880372446
"4",276.78386973689
"5",299.77931643158
"6",233.119783261617
"7",329.364083731731
"8",343.852167385084
"9",217.6133040313
"10",288.273302856564
"11",335.306025323622
"12",528.799325373832
"13",290.564176014038
"14",465.613427746127
"15",256.020422102355
"16",236.561857910544
"17",309.057848429004
"18",173.789905375362
"19",307.523986951876
"20",453.350000222405
"21",386.56450537287
"22",290.208724101614
"23",120.321521371014
"24",293.528140643342
"25",83.1614192334835
"26",388.32616499383
"27",232.858612686504
"28",341.056731187211
"29",509.306246115007
"30",164.275187108468
"31",316.618147054573
"32",312.00861186204
"33",283.589489553723
"34",162.85020627497
"35",294.544794638261
"36",587.140295300852
"37",187.280092859241
"38",166.565839089438
"39",361.574798558722
"40",224.529884021268
"41",182.382592213257
"42",434.97847836185
"43",582.716421029811
"44",361.539754657674
"45",422.972742150897
"46",915.809090107742
"47",245.046105211406
"48",403.027655057235
"49",302.987321164789
"50",161.478612486777
"51",313.615506028332
"52",197.955541280265
"53",365.461723151621
"54",276.518492629813
"55",251.828815923872
"56",291.719944246113
"57",414.635376606937
"58",219.814152687842
"59",264.360218648407
"60",325.252438267949
"61",448.966032665769
"62",216.340043285666
"63",413.894519078921
"64",292.165028154319
"65",52.6107038261223
"66",361.214380303082
"67",562.257577777471
"68",512.592438596394
"69",196.329646162447
"70",145.883840588586
"71",303.370521523004
"72",237.964311267796
"73",462.500260787064
"74",444.762688672365
"75",200.451231375947
"76",377.149499796894
"77",132.437239022926
"78",350.943680767028
"79",190.771967628393
"80",213.095590138475
"81",337.576697023832
"82",99.7898741363947
"83",411.873045583687
"84",435.73225503905
"85",401.836795647427
"86",119.895759242291
"87",292.389314350471
"88",362.567209735112
"89",293.525817956104
"90",508.54788764694
"91",412.128331091409
"92",818.562695972803
"93",440.375449206192
"94",969.410453912995
"95",85.1994359234414
"96",209.642548073166
"97",174.538470177468
"98",296.300258397442
"99",506.95424784515
"100",57.1663205179822
"101",632.776365980102
"102",476.18959992454
"103",494.45612269651
"104",298.097957718018
"105",144.523760279599
"106",574.179414765227
"107",230.400887355057
"108",230.113643992207
"109",220.951891549925
"110",207.274247594129
"111",126.817875044027
"112",269.783487580776
"113",381.40766530462
"114",506.298451390694
"115",258.432629010715
"116",588.685623160741
"117",86.7101644358579
"118",164.645698135826
"119",179.591027228384
"120",379.952365904638
"121",371.220240948148
"122",398.130741012082
"123",436.215299135742
"124",576.50241698392
"125",384.104328931876
"126",125.186478978745
"127",285.560063317714
"128",379.677443830999
"129",464.451603728622
"130",348.826223285397
"131",880.467945492437
"132",283.850228316765
"133",321.875037895695
"134",279.315610481003
"135",200.629070354692
"136",249.898850839338
"137",292.40533861574
"138",432.821471568808
"139",558.174467805698
"140",250.558489826041
"141",262.805868027177
"142",273.740506461542
"143",185.606053257215
"144",353.536006149647
"145",319.008707176567
"146",276.920341410533
"147",256.812741864363
"148",526.719674292381
"149",237.375381938648
"150",111.06145261599
"151",419.543509810053
"152",289.261793681417
"153",563.595941536306
"154",257.621671787653
"155",119.073596922294
"156",245.718532362097
"157",408.274206565734
"158",203.506374798231
"159",242.397643234079
"160",242.253973369737
"161",213.407598817424
"162",252.647053489589
"163",357.196206825495
"164",304.215527932255
"165",172.323215531855
"166",372.669547163718
"167",192.258903048054
"168",341.152981404479
"169",388.927297429771
"170",222.862411066247
"171",345.428293792557
"172",424.78060411122
"173",170.160757764908
"174",225.27971340481
"175",73.4156070436989
"176",440.86022544897
"177",300.228809215538
"178",413.782771272065
"179",401.446932032602
"180",337.028499954267
"181",505.118022790494
"182",347.678511935479
"183",445.150416347226
"184",240.659565958647
"185",704.743794141575
"186",116.407618121668
"187",230.531907587646
"188",303.019161473926
"189",310.865410057114
"190",500.858389133648
"191",404.080726726694
"192",207.362178981282
"193",246.762861627159
"194",182.803175734444
"195",670.344485095999
"196",312.845946606538
"197",278.001908255825
"198",202.780946166758
"199",225.546767435316
"200",347.04082771226
"201",428.457345624558
"202",417.302755670542
"203",350.47800122561
"204",359.657411055801
"205",193.248106897326
"206",295.77520632187
"207",439.871513426395
"208",236.023266617681
"209",221.632883199319
"210",367.191672691923
"211",272.917745825934
"212",559.681287578456
"213",382.05779801838
"214",498.982167782882
"215",173.994851674696
"216",327.837085821176
"217",263.885558848314
"218",434.431602860389
"219",123.253789708697
"220",390.084418830216
"221",399.183468860873
"222",435.3278194417
"223",170.818758547059
"224",471.084882900007
"225",196.763811289493
"226",718.498243081234
"227",468.812360140863
"228",138.943427628188
"229",532.09357450214
"230",316.795598757226
"231",297.330514343297
"232",231.451231107399
"233",290.576908843713
"234",409.333210123127
"235",543.575406519
"236",190.974629381671
"237",496.908985469714
"238",295.940530509366
"239",269.952412476195
"240",368.161485168782
"241",226.961396946425
"242",516.038823491082
"243",228.238494478279
"244",321.009235702874
"245",211.606076597073
"246",498.595663258097
"247",271.098990889157
"248",222.425469091313
"249",480.452072904489
"250",398.899530363457
"251",179.089001432664
"252",195.29108118515
"253",80.7386566786667
"254",103.955802764745
"255",503.246935301249
"256",230.562611712507
"257",463.944098416052
"258",397.059057899099
"259",793.498044394575
"260",275.028800518928
"261",428.064027184061
"262",343.50068255253
"263",205.136946401161
"264",610.329923394938
"265",101.777051238678
"266",190.707512903643
"267",152.42763238319
"268",442.645948941168
"269",397.533869408197
"270",305.615634917203
"271",508.916691687029
"272",300.073680293099
"273",154.619187170317
"274",174.039817561961
"275",335.191123865419
"276",705.343136322768
"277",133.464642308159
"278",220.688999642134
"279",558.160762456107
"280",285.198194576964
"281",664.013566525447
"282",406.614864649825
"283",296.928243611041
"284",256.927119454958
"285",372.512952493841
"286",359.989731650201
"287",283.693273117996
"288",96.7455425430474
"289",159.051083734246
"290",207.946489649616
"291",307.29327493658
"292",485.857351517896
"293",146.218375984297
"294",166.313876707475
"295",371.784765837786
"296",315.530731142605
"297",153.006332246196
"298",364.836738254208
"299",304.036553970239
"300",320.349269613919
"301",179.807287136832
"302",220.626325988156
"303",290.159474500726
"304",323.604120293261
"305",263.877814440594
"306",540.658976053149
"307",221.534935081718
"308",257.87954516612
"309",334.885351958721
"310",379.345464739869
"311",381.111980947659
"312",843.219507336061
"313",114.634059264364
"314",264.121036766496
"315",346.133795040355
"316",337.820713640035
"317",405.645563907694
"318",340.947574307922
"319",611.415012403413
"320",479.573821582362
"321",165.689157204813
"322",470.057789581948
"323",482.268662454745
"324",206.309994728373
"325",493.869605408974
"326",395.96182753597
"327",675.504262072874
"328",526.709930046702
"329",284.182373286871
"330",500.209533940352
"331",392.492357580489
"332",949.845903118803
"333",143.316825421026
"334",310.064890757672
"335",659.315412533417
"336",454.919876529892
"337",181.244372629118
"338",430.767500362444
"339",157.748843421678
"340",153.490821603918
"341",438.714234800574
"342",589.897307539686
"343",203.828967169561
"344",355.673799788998
"345",210.59638486675
"346",266.364133838103
"347",242.289394028779
"348",210.563428054417
"349",224.426322912065
"350",281.735354755462
"351",208.397274048062
"352",123.549036456084
"353",214.537747653971
"354",349.558884325399
"355",306.677053531592
"356",193.301583378078
"357",339.874807903694
"358",342.198502358061
"359",170.969851220434
"360",463.859560995287
"361",614.574299422294
"362",201.578690674204
"363",448.6686661242
"364",302.538266863588
"365",225.743776338927
"366",238.84786112821
"367",336.497021520788
"368",168.430367863256
"369",249.545058629344
"370",224.794233321975
"371",283.719310481168
"372",88.6224582608651
"373",206.383778626222
"374",309.630222101964
"375",402.860182658889
"376",266.864447615256
"377",194.160079994335
"378",436.081951609985
"379",268.480912283836
"380",245.922293977102
"381",531.997209959985
"382",164.291826197239
"383",1237.32794796963
"384",417.237660776556
"385",307.280174340235
"386",349.789580094388
"387",329.937470500821
"388",382.217633944125
"389",391.005633298378
"390",190.578088763569
"391",206.493631987162
"392",301.008297681317
"393",162.862707898931
"394",644.004157759921
"395",621.212200967502
"396",270.389947586924
"397",293.534187681396
"398",204.971471989491
"399",233.586805320562
"400",480.182493134003
"401",387.559414238739
"402",311.492770153391
"403",372.629270042435
"404",406.700428880324
"405",713.854530935122
"406",303.820867037391
"407",192.554419733825
"408",389.21960179465
"409",609.745280816044
"410",249.015885626984
"411",454.190682524975
"412",573.475932868187
"413",316.005468663367
"414",453.97851477934
"415",313.99154954331
"416",172.242801753491
"417",250.687609086343
"418",90.2895308674332
"419",255.475979512302
"420",503.881831324795
"421",122.371539955748
"422",367.153075713796
"423",526.928280839889
"424",790.134473829236
"425",257.575869910012
"426",225.597335978827
"427",494.075833547758
"428",333.720942229476
"429",362.16949785894
"430",629.755468909849
"431",389.640561247717
"432",558.089796937419
"433",265.103919402276
"434",370.888585335413
"435",293.945458440325
"436",331.145616884666
"437",254.190368163042
"438",233.973572373364
"439",87.7147292442808
"440",613.694463805866
"441",226.15830867376
"442",744.811199977353
"443",290.944223390178
"444",159.046072262597
"445",344.966142146701
"446",417.10907253459
"447",200.332325442036
"448",356.701276947872
"449",260.799951833707
"450",290.723862149613
"451",192.835753251023
"452",348.031347651532
"453",277.068102083767
"454",316.949167829097
"455",209.423917870542
"456",339.202076937228
"457",116.031908091467
"458",199.5235061976
"459",138.733855293539
"460",169.10624362666
"461",180.243017539308
"462",499.598416278948
"463",541.829338764645
"464",237.707224930668
"465",420.774245374948
"466",215.3582009758
"467",203.22588905323
"468",609.924156564677
"469",181.068448014477
"470",609.879045715997
"471",212.448189858569
"472",355.812388624666
"473",215.594899752073
"474",225.789027955482
"475",151.41352879606
"476",464.302446286761
"477",310.142119531048
"478",204.345332474253
"479",152.146269172039
"480",352.727579312753
"481",394.292947843916
"482",150.293862596151
"483",533.001197924771
"484",501.502489977858
"485",324.707581793216
"486",608.972590689235
"487",148.519417895124
"488",430.161523357978
"489",369.747617632289
"490",357.473447084353
"491",323.702855036763
"492",420.876588116915
"493",277.863109200663
"494",242.28413687079
"495",147.293241661637
"496",248.175796751159
"497",126.843877041004
"498",302.868884228079
"499",371.264667554331
"500",412.506042646885
"501",234.583716660266
"502",313.271457405283
"503",276.258819473857
"504",163.425276444653
"505",318.187345191114
"506",342.424483506339
"507",168.830035318994
"508",262.084576445773
"509",149.615569436937
"510",140.470251066159
"511",260.565413230061
"512",539.641797508228
"513",300.330107390148
"514",366.063388357635
"515",260.246655196335
"516",685.068209559819
"517",659.931195974537
"518",453.422279117694
"519",218.674491559037
"520",581.61532040084
"521",311.581279643284
"522",607.023036653533
"523",321.351293178909
"524",90.7699742077376
"525",238.706342114246
"526",539.161400215239
"527",326.822968792334
"528",417.036314326013
"529",190.1418472521
"530",250.118490080044
"531",535.001436387791
"532",356.748539544225
"533",344.533113880471
"534",601.198334531605
